_id,EVENT_UNIQUE_ID,REPORT_DATE,OCC_DATE,REPORT_YEAR,REPORT_MONTH,REPORT_DAY,REPORT_DOY,REPORT_DOW,REPORT_HOUR,OCC_YEAR,OCC_MONTH,OCC_DAY,OCC_DOY,OCC_DOW,OCC_HOUR,DIVISION,LOCATION_TYPE,PREMISES_TYPE,UCR_CODE,UCR_EXT,OFFENCE,MCI_CATEGORY,HOOD_158,NEIGHBOURHOOD_158,HOOD_140,NEIGHBOURHOOD_140,LONG_WGS84,LAT_WGS84
53638,GO-20151492471,2015-08-30,2015-08-30,2015,August,30,242,Sunday    ,3,2015.0,August,30.0,242.0,Sunday    ,3,D43,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,1430,100,Assault,Assault,141,Golfdale-Cedarbrae-Woburn (141),137,Woburn (137),-79.2306685014517,43.7735145128066
220295,GO-2020592587,2020-03-24,2020-03-24,2020,March,24,84,Tuesday   ,3,2020.0,March,24.0,84.0,Tuesday   ,3,D55,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,2120,200,B&E,Break and Enter,062,East End-Danforth (62),062,East End-Danforth (62),-79.30975724299844,43.68127012567017
292122,GO-2022678028,2022-04-12,2022-04-11,2022,April,12,102,Tuesday   ,9,2022.0,April,11.0,101.0,Monday    ,19,D14,"Single Home, House (Attach Garage, Cottage, Mobile)",House,2135,210,Theft Of Motor Vehicle,Auto Theft,162,West Queen West (162),082,Niagara (82),-79.41320022893191,43.64319008536766
325100,GO-202395387,2023-01-13,2023-01-13,2023,January,13,13,Friday    ,11,2023.0,January,13.0,13.0,Friday    ,4,D13,"Apartment (Rooming House, Condo)",Apartment,2120,200,B&E,Break and Enter,094,Wychwood (94),094,Wychwood (94),-79.42628522822051,43.67877791686322
77687,GO-2016862982,2016-05-19,2016-05-19,2016,May,19,140,Thursday  ,16,2016.0,May,19.0,140.0,Thursday  ,16,D13,"Open Areas (Lakes, Parks, Rivers)",Outside,1610,220,Robbery - Other,Robbery,108,Briar Hill-Belgravia (108),108,Briar Hill-Belgravia (108),-79.45129047782125,43.69869466213947
380398,GO-2024424637,2024-02-25,2024-02-25,2024,February,25,56,Sunday    ,20,2024.0,February,25.0,56.0,Sunday    ,20,D52,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,170,Yonge-Bay Corridor (170),076,Bay Street Corridor (76),-79.38132014339358,43.65116169026529
375059,GO-2024116412,2024-01-16,2024-01-16,2024,January,16,16,Tuesday   ,13,2024.0,January,16.0,16.0,Tuesday   ,13,D53,"Single Home, House (Attach Garage, Cottage, Mobile)",House,2120,220,B&E W'Intent,Break and Enter,103,Lawrence Park South (103),103,Lawrence Park South (103),-79.39198495008989,43.7272673825345
233363,GO-20201514417,2020-08-13,2020-08-12,2020,August,13,226,Thursday  ,9,2020.0,August,12.0,225.0,Wednesday ,15,D53,Bar / Restaurant,Commercial,2120,200,B&E,Break and Enter,173,North Toronto (173),104,Mount Pleasant West (104),-79.39898134140446,43.70958849728597
229279,GO-20201238874,2020-07-05,2019-09-18,2020,July,5,187,Sunday    ,6,2019.0,September,18.0,261.0,Wednesday ,6,D31,"Apartment (Rooming House, Condo)",Apartment,1420,110,Assault Bodily Harm,Assault,024,Black Creek (24),024,Black Creek (24),-79.50964331924537,43.76047648664338
118967,GO-20171386175,2017-08-02,2017-08-02,2017,August,2,214,Wednesday ,1,2017.0,August,2.0,214.0,Wednesday ,1,D32,Bar / Restaurant,Commercial,2120,200,B&E,Break and Enter,039,Bedford Park-Nortown (39),039,Bedford Park-Nortown (39),-79.4195060339987,43.73325366951893
